M5;USDCHF-OTC;18:10;PUT
M5;USDCHF-OTC;18:20;PUT
M5;EURUSD-OTC;18:25;PUT
M5;USDCHF-OTC;18:25;PUT
M5;EURUSD-OTC;18:35;CALL
M5;USDCHF-OTC;18:35;CALL
M5;EURUSD-OTC;18:40;PUT
M5;USDCHF-OTC;18:40;CALL
M5;EURUSD-OTC;18:45;CALL
M5;EURUSD-OTC;18:50;CALL
M5;USDCHF-OTC;18:50;CALL
M5;EURUSD-OTC;19:00;PUT
M5;USDCHF-OTC;19:00;CALL
M5;USDCHF-OTC;19:10;PUT
M5;EURUSD-OTC;19:25;CALL
M5;USDCHF-OTC;19:35;PUT
M5;USDCHF-OTC;19:40;CALL
M5;USDCHF-OTC;19:45;PUT
M5;USDCHF-OTC;20:00;CALL
M5;EURUSD-OTC;20:05;CALL
M5;EURUSD-OTC;20:15;CALL
M5;USDCHF-OTC;20:15;PUT
M5;EURUSD-OTC;20:20;PUT
M5;USDCHF-OTC;20:25;CALL
M5;EURUSD-OTC;20:40;PUT
M5;USDCHF-OTC;20:40;PUT
M5;USDCHF-OTC;20:45;PUT
M5;EURUSD-OTC;20:50;CALL
M5;USDCHF-OTC;20:50;PUT
M5;EURUSD-OTC;20:55;CALL
M5;USDCHF-OTC;20:55;CALL
M5;EURUSD-OTC;21:05;CALL
M5;USDCHF-OTC;21:05;PUT
M5;EURUSD-OTC;21:10;CALL
M5;USDCHF-OTC;21:10;PUT
M5;EURUSD-OTC;21:25;PUT
M5;USDCHF-OTC;21:25;CALL
M5;USDCHF-OTC;21:30;PUT
M5;USDCHF-OTC;21:35;CALL
M5;USDCHF-OTC;21:40;CALL
M5;EURUSD-OTC;21:45;CALL
M5;USDCHF-OTC;21:45;PUT
M5;EURUSD-OTC;21:50;PUT